SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_214 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 33 0 0
OTU_215 8 9 10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_216 5 0 0 19 1 0 0 0 0 0 0 1 0 1 0 12 0 0 1 0 0 0 0
OTU_217 0 0 0 0 0 0 0 0 0 5 31 0 0 0 1 0 1 0 0 0 0 0 0
OTU_218 0 0 0 1 1 0 1 0 0 0 0 12 3 2 0 0 0 1 0 0 0 0 0
OTU_219 0 8 5 11 71 2 4 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
OTU_220 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 62 1 0 0
OTU_221 0 0 0 0 27 2 3 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0
OTU_222 0 0 0 0 0 0 0 0 6 18 12 0 0 0 0 0 0 0 0 0 0 1 0
OTU_223 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 4 0 13 4
OTU_224 0 0 0 1 0 0 0 0 0 0 0 2 1 1 2 1 0 1 0 0 1 0 0
OTU_225 0 0 0 0 1 0 0 0 0 0 0 5 1 1 1 10 1 16 14 0 0 0 1
OTU_226 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 6 29
OTU_227 0 0 0 0 0 0 0 0 0 0 0 2 1 11 5 0 0 0 0 0 0 0 0
